symbol,code,name,current,percent,high52w,low52w,marketcapital,amount,volume,pe_ttm
SZ300407,SZ300407,凯发电气,11.62,-5.07,15.15,7.9753,3697489729.0,133238791.0,11312100,38.366
SZ300408,SZ300408,三环集团,42.35,-5.13,55.12,30.9527,81163663662.0,1139676191.91,26620396,31.883
SZ300409,SZ300409,道氏技术,20.76,-6.53,27.98,11.653,16239488264.0,757754912.39,35918988,38.191
SZ300410,SZ300410,正业科技,8.32,-5.45,11.98,4.0,3054395111.0,149465495.31,17753517,
SZ300411,SZ300411,金盾股份,11.3,-2.5,17.0,9.4,4593676079.0,79247901.0,6955800,719.992
SZ300412,SZ300412,迦南科技,5.32,-5.34,6.5225,3.9827,2648065309.0,116641666.3,21542590,84.618
SZ300413,SZ300413,芒果超媒,25.71,0.0,36.42,20.7244,48096232154.0,473534124.97,18405668,51.392
SZ300414,SZ300414,中光防雷,12.5,-1.19,17.19,5.8656,4075243325.0,256691034.79,20571788,190.21
SZ300415,SZ300415,伊之密,23.2,-2.73,29.79,17.277,10870640349.0,202322003.65,8629880,15.715
SZ300416,SZ300416,苏试试验,14.6,-2.34,20.11,10.5167,7424797968.0,127434850.67,8672799,30.955
SZ300417,SZ300417,南华仪器,12.62,-5.75,17.0,8.51,1698187584.0,61946024.7,4815270,
SZ300418,SZ300418,昆仑万维,40.42,-0.35,54.0,27.13,50741528040.0,2512729266.9,61841329,
SZ300419,SZ300419,ST浩丰,6.66,-3.9,8.37,3.79,2449240108.0,76564311.8,11361500,
SZ300420,SZ300420,五洋自控,3.89,-3.95,4.93,2.25,4342732052.0,112093343.94,28429242,
SZ300421,SZ300421,力星股份,18.96,3.21,25.71,9.9509,5574817977.0,585257813.64,31158824,99.263
SZ300422,SZ300422,博世科,4.95,-6.95,6.74,3.45,2642707926.0,75956690.84,14981408,
SZ300423,SZ300423,昇辉科技,7.4,-7.38,9.53,5.88,3681583546.0,191220153.44,25273875,
SZ300424,SZ300424,航新科技,15.65,-3.87,20.45,11.98,3841002568.0,209266434.26,13189643,
SZ300425,SZ300425,中建环能,5.07,-4.7,7.1569,4.2006,3458880005.0,73922051.12,14352639,55.298
SZ300426,SZ300426,华智数媒,8.61,-1.15,14.4,8.37,3877795994.0,59149399.74,6836700,
SZ300427,SZ300427,红相股份,8.8,-3.4,10.72,3.88,4474978622.0,1144921876.48,129832858,
SZ300428,SZ300428,立中集团,20.72,-4.25,26.5,13.928,13263104603.0,292784635.39,13961427,15.805
SZ300429,SZ300429,强力新材,13.19,-0.75,15.82,9.7,7073855392.0,314875643.55,23589758,
SZ300430,SZ300430,诚益通,17.83,-4.45,25.88,14.0782,4868424373.0,115716834.15,6405263,73.408
SZ300432,SZ300432,富临精工,15.48,-4.68,22.28,9.7007,26467088546.0,1092504886.66,70311662,64.371
SZ300433,SZ300433,蓝思科技,26.24,-1.24,34.8332,16.0497,138660755988.0,1505571251.65,57338482,33.853
SZ300434,SZ300434,金石亚药,11.31,-4.31,13.4,6.6618,4543723192.0,251656634.0,21920000,34.845
SZ300435,SZ300435,中泰股份,18.57,-4.28,23.67,10.4374,7162690410.0,199641920.0,10586900,105.222
SZ300436,SZ300436,广生堂,95.88,-4.53,188.93,24.44,15270519960.0,565992595.96,5811700,
SZ300437,SZ300437,清水源,19.06,3.59,20.71,6.26,4811180684.0,1125319830.35,59845106,
SZ300438,SZ300438,鹏辉能源,47.17,-5.85,58.79,20.5,23742706291.0,1447647588.67,30221797,
SZ300439,SZ300439,美康生物,10.16,-4.42,12.5006,9.2744,3904679160.0,65643666.2,6356891,41.465
SZ300440,SZ300440,运达科技,12.0,-3.46,15.46,6.4377,5327023200.0,98699131.0,8136000,107.971
SZ300441,SZ300441,鲍斯股份,7.59,-3.44,11.8123,7.3225,4891116438.0,65633386.0,8569600,16.855
SZ300442,SZ300442,润泽科技,45.64,-1.74,74.0682,30.1125,74591440672.0,653010610.54,14207341,14.977
SZ300443,SZ300443,金雷股份,24.95,-2.62,34.1831,16.6727,7987358220.0,225892621.59,9008944,24.295
SZ300444,SZ300444,双杰电气,9.8,-9.01,11.99,5.86,7826525882.0,1324039592.73,132231609,87.285
SZ300445,SZ300445,康斯特,19.22,-4.95,23.6568,14.4846,4082904850.0,100272965.0,5128440,31.327
SZ300446,SZ300446,航天智造,18.94,-4.73,23.4,14.681,16012067502.0,517554358.1,26837825,17.663
SZ300447,SZ300447,全信股份,14.47,-4.05,18.29,10.7616,4519131126.0,110809417.58,7571640,
SZ300448,SZ300448,浩云科技,7.17,-3.63,10.1589,5.0048,4850627456.0,174311051.45,24021641,
SZ300449,SZ300449,汉邦高科,6.93,-3.08,12.3,6.05,2675229404.0,61775289.0,8811940,
SZ300450,SZ300450,先导智能,46.68,-6.83,69.72,16.7225,73108490427.0,3527647610.98,73924814,84.622
SZ300451,SZ300451,创业慧康,5.11,-2.11,8.15,3.91,7916027176.0,326652883.79,63027679,
SZ300452,SZ300452,山河药辅,13.68,-5.0,15.93,10.0553,3207274112.0,264114800.55,18837511,24.755
SZ300453,SZ300453,三鑫医疗,9.1,-4.81,11.5226,6.769,4750966903.0,114271460.08,12369992,19.434
SZ300454,SZ300454,深信服,111.9,-2.86,141.9033,51.4649,47208786813.0,591600786.68,5208605,67.832
SZ300455,SZ300455,航天智装,23.0,-11.2,30.3,10.6282,16508662528.0,1421327142.57,59332591,
SZ300456,SZ300456,赛微电子,33.49,11.82,34.99,13.42,24521817858.0,5430898922.86,166512185,16.095
SZ300457,SZ300457,赢合科技,26.66,-5.96,39.49,14.9368,17304891709.0,530722367.16,19565309,55.916
SZ300458,SZ300458,全志科技,39.91,-3.48,55.9,25.1665,32942806816.0,719080624.41,17802964,111.975
SZ300459,SZ300459,汤姆猫,5.05,2.02,8.17,4.25,17754845242.0,1624004510.43,323498718,
SZ300460,SZ300460,惠伦晶体,10.38,-2.26,15.61,7.12,2914748125.0,331241729.34,31749525,
SZ300461,SZ300461,田中精机,19.49,-3.85,26.65,14.69,3061034927.0,54119071.7,2751600,
SZ300462,SZ300462,ST华铭,11.17,-5.98,14.8,6.95,2024249047.0,53508237.0,4696900,53.076
SZ300463,SZ300463,迈克生物,11.31,-3.42,15.2634,10.8033,6838779517.0,99820873.16,8712003,
SZ300464,SZ300464,星徽股份,7.12,-5.32,8.74,3.55,3259676001.0,155587313.0,21469100,
SZ300465,SZ300465,高伟达,22.46,-0.84,28.8,11.72,9966610558.0,520784499.68,23032436,347.715
SZ300466,SZ300466,赛摩智能,9.53,-4.03,14.2,6.73,5103600023.0,106296135.6,11034380,
SZ300467,SZ300467,迅游科技,24.04,-0.04,29.55,14.26,4885045724.0,127700297.0,5329453,302.7
SZ300468,SZ300468,四方精创,31.52,-3.58,52.53,13.7995,16726065148.0,571917245.58,17890780,204.643
SZ300469,SZ300469,信息发展,59.33,-3.9,92.5,19.41,14728009428.0,410245961.51,6856412,
SZ300470,SZ300470,中密控股,34.58,-2.56,43.9436,30.6477,7191316865.0,121717129.4,3494080,17.988
SZ300471,SZ300471,厚普股份,12.03,-4.98,14.51,6.72,5656009534.0,231931859.43,19079038,
SZ300472,SZ300472,*ST新元,8.63,1.53,11.17,2.57,2375481899.0,117642771.56,13679899,
SZ300473,SZ300473,德尔股份,27.63,-6.08,37.6,21.71,4171386781.0,137172101.0,4858100,47.666
SZ300474,SZ300474,景嘉微,69.76,-4.35,114.3349,62.2828,36457916996.0,656601786.64,9282420,
SZ300475,SZ300475,香农芯创,126.41,-13.36,204.57,23.1918,58766209806.0,8505324681.14,66450019,226.807
SZ300476,SZ300476,胜宏科技,254.95,-7.73,355.0,36.4406,221895557349.0,10037702469.76,38592386,61.05
SZ300477,SZ300477,ST合纵,3.74,-6.97,4.55,1.59,4009349889.0,716259489.4,182640226,
SZ300478,SZ300478,杭州高新,29.11,-4.31,31.2,7.87,3687451030.0,368912645.8,12402340,
SZ300479,SZ300479,神思电子,19.74,-0.65,26.96,15.87,3889586675.0,119355340.13,6065243,167.074
SZ300480,SZ300480,光力科技,15.16,-4.65,19.49,10.3698,5348896766.0,125602658.11,8171909,
SZ300481,SZ300481,濮阳惠成,16.5,-2.88,18.8,11.6142,4815614727.0,477749478.12,28639629,32.054
